order px wavelength class PCC r_m r_c med_intensity
13 0576 5038.22 w 0.189 0.01167 -0.00026 -0.0038
13 0577 5038.24 w 0.274 0.01447 -0.00281 -0.0071
13 0578 5038.26 w 0.457 0.02990 -0.00234 -0.0113
13 0579 5038.28 w 0.585 0.05393 -0.00324 -0.0194
13 0580 5038.30 w 0.476 0.03833 -0.00751 -0.0190
13 0581 5038.32 w 0.304 0.02105 -0.00721 -0.0135
13 0582 5038.33 w 0.053 0.00372 -0.00677 -0.0079
13 0606 5038.78 w 0.064 0.00455 -0.00468 -0.0060
13 0607 5038.80 w 0.384 0.02607 -0.00173 -0.0095
13 0608 5038.82 w 0.389 0.02606 -0.00329 -0.0111
13 0609 5038.84 w 0.563 0.04354 -0.00472 -0.0177
13 0610 5038.86 w 0.673 0.04908 -0.00539 -0.0201
13 0611 5038.88 w 0.431 0.03123 -0.00355 -0.0129
13 0612 5038.90 w 0.124 0.00770 -0.00566 -0.0080
13 0654 5039.68 w 0.093 0.00612 -0.00567 -0.0075
13 0655 5039.70 w 0.544 0.03715 0.00014 -0.0110
13 0656 5039.72 w 0.620 0.04519 -0.00403 -0.0175
13 0657 5039.74 w 0.596 0.05844 -0.00200 -0.0195
13 0658 5039.75 w 0.476 0.04095 -0.00032 -0.0126
13 0659 5039.77 w 0.560 0.04190 0.00534 -0.0072
13 0660 5039.79 w 0.219 0.01555 -0.00112 -0.0058
13 0744 5041.36 w 0.162 0.00900 -0.00753 -0.0102
13 0745 5041.38 w 0.537 0.04380 -0.00281 -0.0159
13 0746 5041.39 w 0.510 0.03633 -0.00898 -0.0198
13 0747 5041.41 w 0.613 0.04851 -0.00226 -0.0168
13 0748 5041.43 w 0.543 0.03572 -0.00244 -0.0131
13 0749 5041.45 w 0.484 0.03225 -0.00213 -0.0118
13 0750 5041.47 w -0.022 -0.00120 -0.00869 -0.0083
13 0769 5041.82 w 0.170 0.00960 -0.00072 -0.0036
13 0770 5041.84 w 0.257 0.01578 -0.00252 -0.0072
13 0771 5041.86 w 0.449 0.03144 0.00038 -0.0090
13 0772 5041.88 w 0.755 0.06146 0.00423 -0.0141
13 0773 5041.90 w 0.712 0.06143 -0.00314 -0.0215
13 0774 5041.91 w 0.560 0.04233 -0.00606 -0.0187
13 0775 5041.93 w 0.341 0.01979 -0.00414 -0.0101
13 0776 5041.95 w 0.098 0.00523 -0.00549 -0.0070
13 0784 5042.10 w 0.187 0.01422 -0.00810 -0.0124
13 0785 5042.12 w 0.552 0.04579 -0.00668 -0.0204
13 0786 5042.14 w 0.698 0.06731 -0.00274 -0.0229
13 0787 5042.16 w 0.521 0.03353 -0.00704 -0.0171
13 0788 5042.18 w 0.140 0.00782 -0.00747 -0.0098
13 0823 5042.83 w 0.137 0.00948 -0.00059 -0.0034
13 0824 5042.84 w 0.270 0.01750 -0.00098 -0.0062
13 0825 5042.86 w 0.496 0.03877 0.00202 -0.0096
13 0826 5042.88 w 0.608 0.05160 -0.00122 -0.0166
13 0827 5042.90 w 0.869 0.08042 -0.00246 -0.0265
13 0828 5042.92 w 0.813 0.08165 -0.00520 -0.0296
13 0829 5042.94 w 0.629 0.04675 -0.00578 -0.0198
13 0830 5042.96 w 0.327 0.02372 -0.00485 -0.0119
13 0831 5042.97 w 0.072 0.00501 -0.00760 -0.0091
13 0832 5042.99 w 0.176 0.01032 -0.00324 -0.0063
13 0833 5043.01 w 0.434 0.02849 -0.00049 -0.0090
13 0834 5043.03 w 0.572 0.03819 -0.00083 -0.0122
13 0835 5043.05 w 0.733 0.06520 0.00001 -0.0195
13 0836 5043.07 w 0.865 0.10151 -0.00060 -0.0309
13 0837 5043.09 w 0.902 0.09661 -0.00809 -0.0370
13 0838 5043.10 w 0.797 0.07287 -0.00527 -0.0271
13 0839 5043.12 w 0.538 0.03740 -0.00137 -0.0126
13 0840 5043.14 w 0.285 0.01756 -0.00195 -0.0072
13 0841 5043.16 w 0.059 0.00339 -0.00363 -0.0046
13 0881 5043.90 w 0.133 0.01009 -0.00494 -0.0080
13 0882 5043.92 w 0.249 0.02048 -0.00792 -0.0140
13 0883 5043.94 w 0.637 0.05891 -0.00668 -0.0243
13 0884 5043.96 w 0.850 0.10464 -0.00374 -0.0350
13 0885 5043.98 w 0.799 0.07794 -0.00659 -0.0299
13 0886 5044.00 w 0.583 0.04558 -0.00300 -0.0166
13 0887 5044.01 w 0.254 0.01977 -0.00342 -0.0093
13 0888 5044.03 w 0.178 0.01140 -0.00355 -0.0070
13 1553 5056.26 w -0.311 -0.01713 -0.00900 -0.0039
13 1554 5056.27 w 0.386 0.02877 -0.00012 -0.0087
13 1555 5056.29 w 0.319 0.02487 -0.00284 -0.0103
13 1556 5056.31 w 0.536 0.03751 0.00158 -0.0096
13 1557 5056.33 w 0.452 0.02646 0.00132 -0.0066
13 1558 5056.35 w 0.445 0.03203 0.00280 -0.0068
13 1559 5056.36 w 0.562 0.03729 0.00206 -0.0091
13 1560 5056.38 w 0.642 0.04728 0.00255 -0.0116
13 1561 5056.40 w 0.741 0.05933 -0.00073 -0.0185
13 1562 5056.42 w 0.849 0.09581 -0.00003 -0.0287
13 1563 5056.44 w 0.882 0.09953 -0.00193 -0.0317
13 1564 5056.46 w 0.727 0.06479 -0.00217 -0.0215
